CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CID-00001,Female,0,No,Yes,36,Yes,No,Fiber optic,No,No internet service,One year,Yes,Mailed check,84.81,3443.13,No
CID-00002,Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,65.36,3124.2,Yes
CID-00003,Female,0,No,No,68,No,No,DSL,No,No,Month-to-month,No,Mailed check,33.37,5762.75,No
CID-00004,Male,1,Yes,Yes,51,Yes,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,26.72,452.05,No
CID-00005,Female,0,Yes,No,3,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,34.21,1054.56,No
CID-00006,Female,0,No,No,23,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Credit card,26.73,6722.35,No
CID-00007,Female,0,Yes,No,15,Yes,No,DSL,No internet service,Yes,One year,No,Electronic check,89.87,380.52,No
CID-00008,Female,0,Yes,No,9,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,26.99,959.45,Yes
CID-00009,Female,0,Yes,No,35,Yes,No phone service,Fiber optic,No,Yes,Two year,Yes,Mailed check,91.75,5772.87,No
CID-00010,Female,0,No,No,44,Yes,No phone service,Fiber optic,No,No internet service,One year,No,Electronic check,60.48,65.53,No
CID-00011,Female,0,No,Yes,24,No,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,110.21,1879.68,No
CID-00012,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No internet service,Yes,One year,Yes,Electronic check,42.25,1006.32,No
CID-00013,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,19.96,686.18,No
CID-00014,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,110.33,1255.35,No
CID-00015,Female,0,Yes,No,60,No,Yes,DSL,Yes,No internet service,Month-to-month,No,Mailed check,66.94,1714.63,No
CID-00016,Male,0,Yes,No,57,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card,50.16,211.62,No
CID-00017,Male,0,Yes,Yes,25,No,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,46.26,2364.29,Yes
CID-00018,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,32.09,825.06,No
CID-00019,Female,1,No,No,62,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,36.76,5051.19,Yes
CID-00020,Male,0,No,Yes,62,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,47.53,2666.44,Yes
CID-00021,Male,0,Yes,Yes,72,No,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,54.56,5859.16,No
CID-00022,Male,0,No,Yes,0,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,54.38,108.92,Yes
CID-00023,Female,0,Yes,No,14,Yes,Yes,No,No,No,Two year,No,Mailed check,112.44,1936.23,Yes
CID-00024,Female,0,No,Yes,12,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer,92.37,1409.67,No
CID-00025,Female,0,No,Yes,21,Yes,Yes,DSL,No internet service,No internet service,Two year,Yes,Electronic check,69.74,2690.23,No
CID-00026,Female,0,Yes,Yes,33,Yes,Yes,DSL,No,No,One year,No,Electronic check,96.95,1875.51,No
CID-00027,Female,0,No,Yes,70,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,28.84,659.66,Yes
CID-00028,Female,0,Yes,No,71,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,72.5,2036.76,No
CID-00029,Male,0,No,No,63,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,62.01,199.71,No
CID-00030,Female,0,Yes,No,36,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,41.03,2753.79,No
CID-00031,Male,0,Yes,No,25,Yes,No,DSL,Yes,No,Two year,No,Credit card,93.7,3052.5,No
CID-00032,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,One year,No,Mailed check,43.68,4969.94,No
CID-00033,Female,0,Yes,No,36,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,95.07,4008.79,No
CID-00034,Female,0,Yes,No,12,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Electronic check,32.17,643.52,No
CID-00035,Female,0,Yes,Yes,15,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,106.31,3469.67,Yes
CID-00036,Male,0,Yes,No,49,Yes,No phone service,DSL,No,No,Month-to-month,Yes,Electronic check,23.28,2147.75,Yes
CID-00037,Female,1,Yes,Yes,15,Yes,No,DSL,No,No,One year,Yes,Credit card,61.81,5328.39,No
CID-00038,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Two year,Yes,Electronic check,45.93,6439.35,Yes
CID-00039,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,32.32,1653.3,No
CID-00040,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,87.08,4159.79,No
CID-00041,Female,0,No,Yes,17,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,37.5,1795.08,No
CID-00042,Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,One year,Yes,Electronic check,83.14,632.88,No
CID-00043,Female,0,No,No,68,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Credit card,29.45,597.25,Yes
CID-00044,Male,0,Yes,No,18,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,19.22,815.86,No
CID-00045,Male,0,Yes,Yes,51,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,100.47,2563.56,Yes
CID-00046,Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,106.03,2175.79,No
CID-00047,Male,0,Yes,No,50,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Electronic check,82.82,1766.79,No
CID-00048,Male,0,No,No,28,Yes,No,Fiber optic,No,No,One year,No,Mailed check,81.88,7309.06,Yes
CID-00049,Male,0,Yes,No,37,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,31.94,4066.77,Yes
CID-00050,Female,1,Yes,Yes,72,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,73.59,2342.22,Yes
CID-00051,Female,0,No,No,66,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,37.57,2062.77,No
CID-00052,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Two year,No,Mailed check,81.67,319.34,No
CID-00053,Female,0,Yes,No,40,Yes,Yes,DSL,No internet service,No,Two year,Yes,Bank transfer,70.99,2887.9,Yes
CID-00054,Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,101.65,669.52,Yes
CID-00055,Male,0,No,No,51,Yes,No,No,No,Yes,One year,No,Mailed check,58.52,961.68,No
CID-00056,Male,1,No,No,41,No,Yes,DSL,No internet service,Yes,Month-to-month,No,Electronic check,100.49,544.16,Yes
CID-00057,Female,0,No,No,27,Yes,No phone service,Fiber optic,No internet service,Yes,Two year,Yes,Mailed check,99.68,3103.12,No
CID-00058,Male,0,Yes,No,26,Yes,No,No,Yes,Yes,One year,No,Electronic check,75.14,747.34,Yes
CID-00059,Female,1,Yes,No,43,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,49.27,5049.81,Yes
CID-00060,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,56.68,292.51,No
CID-00061,Male,0,No,No,10,Yes,No,DSL,Yes,No internet service,Two year,No,Bank transfer,41.37,848.13,No
CID-00062,Male,0,No,No,40,Yes,Yes,DSL,No internet service,Yes,Month-to-month,No,Bank transfer,30.98,7075.04,Yes
CID-00063,Female,0,Yes,No,16,Yes,No,No,Yes,Yes,One year,Yes,Credit card,110.65,5810.43,No
CID-00064,Male,0,Yes,No,55,No,Yes,Fiber optic,No,No,Two year,No,Mailed check,41.0,1319.37,No
CID-00065,Female,0,Yes,No,69,Yes,No,No,No,No,One year,Yes,Credit card,56.38,2271.81,No
CID-00066,Female,1,Yes,No,3,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer,19.47,4578.61,No
CID-00067,Female,0,No,No,10,Yes,No,Fiber optic,No,No,One year,Yes,Bank transfer,102.05,3055.02,No
CID-00068,Male,0,No,No,8,Yes,Yes,DSL,No internet service,No,Month-to-month,No,Credit card,79.15,1046.84,No
CID-00069,Male,0,Yes,No,30,Yes,No,DSL,No,No,Month-to-month,No,Credit card,76.58,405.04,Yes
CID-00070,Male,1,Yes,Yes,14,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,43.01,3075.26,No
CID-00071,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Bank transfer,99.98,365.18,No
CID-00072,Female,0,No,No,16,No,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,92.69,319.25,No
CID-00073,Female,1,No,No,15,No,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,99.75,5466.04,No
CID-00074,Male,0,Yes,Yes,46,Yes,No,DSL,No,No,Two year,Yes,Credit card,60.74,5880.23,No
CID-00075,Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,Two year,No,Mailed check,21.65,1672.22,No
CID-00076,Male,1,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Electronic check,51.25,2589.62,No
CID-00077,Male,0,No,No,6,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,53.65,4049.89,No
CID-00078,Female,0,No,Yes,47,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,54.83,4577.86,No
CID-00079,Male,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,Two year,No,Bank transfer,46.05,7912.43,No
